15
646,-1,0;600,-1,1;601,-1,2;602,-1,3;603,-1,4;604,-1,5;605,-1,6;606,-1,7;607,-1,8;608,-1,9;609,-1,10;610,-1,11;611,-1,12;612,-1,13;613,-1,14;614,-1,15;615,-1,16;616,-1,17;617,-1,18;618,-1,19;619,-1,20;
504,-1,0;550,-1,1;596,-1,2;642,-1,3;688,-1,4;734,-1,5;780,-1,6;826,-1,7;825,-1,8;824,-1,9;823,-1,10;822,-1,11;821,-1,12;820,-1,13;819,-1,14;818,-1,15;817,-1,16;816,-1,17;815,-1,18;814,-1,19;813,-1,20;
1282,-1,0;1328,-1,1;1374,-1,2;1420,-1,3;1466,-1,4;1465,-1,5;1464,-1,6;1463,-1,7;1462,-1,8;1461,-1,9;1460,-1,10;1459,-1,11;1458,-1,12;1457,-1,13;1456,-1,14;1455,-1,15;1454,-1,16;1453,-1,17;1452,-1,18;1451,-1,19;1450,-1,20;
510,-1,0;464,-1,1;418,-1,2;372,-1,3;326,-1,4;327,-1,5;328,-1,6;329,-1,7;330,-1,8;331,-1,9;332,-1,10;333,-1,11;334,-1,12;335,-1,13;336,-1,14;337,-1,15;338,-1,16;339,-1,17;340,-1,18;341,-1,19;342,-1,20;
734,-1,0;780,-1,1;826,-1,2;872,-1,3;918,-1,4;964,-1,5;1010,-1,6;1056,-1,7;1102,-1,8;1148,-1,9;1194,-1,10;1240,-1,11;1286,-1,12;1332,-1,13;1378,-1,14;1377,-1,15;1376,-1,16;1375,-1,17;1374,-1,18;1373,-1,19;1372,-1,20;
278,-1,0;232,-1,1;186,-1,2;140,-1,3;141,-1,4;142,-1,5;143,-1,6;144,-1,7;145,-1,8;146,-1,9;147,-1,10;148,-1,11;149,-1,12;150,-1,13;151,-1,14;197,-1,15;243,-1,16;244,-1,17;245,-1,18;246,-1,19;247,-1,20;
971,-1,0;1017,-1,1;1063,-1,2;1109,-1,3;1155,-1,4;1201,-1,5;1247,-1,6;1248,-1,7;1249,-1,8;1250,-1,9;1251,-1,10;1252,-1,11;1253,-1,12;1254,-1,13;1255,-1,14;1256,-1,15;1257,-1,16;1258,-1,17;1259,-1,18;1260,-1,19;1261,-1,20;
1200,-1,0;1154,-1,1;1108,-1,2;1062,-1,3;1016,-1,4;970,-1,5;924,-1,6;878,-1,7;832,-1,8;786,-1,9;740,-1,10;694,-1,11;648,-1,12;602,-1,13;556,-1,14;510,-1,15;464,-1,16;418,-1,17;372,-1,18;326,-1,19;280,-1,20;
178,-1,0;224,-1,1;270,-1,2;316,-1,3;362,-1,4;408,-1,5;454,-1,6;500,-1,7;546,-1,8;592,-1,9;638,-1,10;684,-1,11;730,-1,12;776,-1,13;822,-1,14;868,-1,15;914,-1,16;960,-1,17;1006,-1,18;1052,-1,19;1098,-1,20;
281,-1,0;235,-1,1;236,-1,2;237,-1,3;238,-1,4;239,-1,5;240,-1,6;241,-1,7;242,-1,8;243,-1,9;244,-1,10;245,-1,11;246,-1,12;247,-1,13;248,-1,14;249,-1,15;250,-1,16;251,-1,17;252,-1,18;253,-1,19;254,-1,20;
1424,-1,0;1423,-1,1;1422,-1,2;1421,-1,3;1420,-1,4;1419,-1,5;1373,-1,6;1372,-1,7;1371,-1,8;1370,-1,9;1369,-1,10;1368,-1,11;1367,-1,12;1366,-1,13;1365,-1,14;1364,-1,15;1363,-1,16;1362,-1,17;1316,-1,18;1270,-1,19;1224,-1,20;
181,-1,0;227,-1,1;273,-1,2;319,-1,3;365,-1,4;411,-1,5;457,-1,6;503,-1,7;549,-1,8;595,-1,9;641,-1,10;687,-1,11;733,-1,12;779,-1,13;825,-1,14;871,-1,15;917,-1,16;963,-1,17;1009,-1,18;1055,-1,19;1101,-1,20;
1055,-1,0;1054,-1,1;1053,-1,2;1052,-1,3;1051,-1,4;1005,-1,5;1004,-1,6;1003,-1,7;1002,-1,8;1001,-1,9;1000,-1,10;999,-1,11;998,-1,12;997,-1,13;996,-1,14;995,-1,15;994,-1,16;993,-1,17;992,-1,18;991,-1,19;990,-1,20;
600,-1,0;646,-1,1;692,-1,2;738,-1,3;784,-1,4;830,-1,5;876,-1,6;922,-1,7;968,-1,8;1014,-1,9;1060,-1,10;1106,-1,11;1152,-1,12;1198,-1,13;1244,-1,14;1245,-1,15;1246,-1,16;1247,-1,17;1248,-1,18;1249,-1,19;1250,-1,20;
316,-1,0;362,-1,1;361,-1,2;360,-1,3;359,-1,4;358,-1,5;357,-1,6;356,-1,7;355,-1,8;354,-1,9;353,-1,10;352,-1,11;351,-1,12;350,-1,13;349,-1,14;348,-1,15;347,-1,16;393,-1,17;439,-1,18;440,-1,19;441,-1,20;
