10
2284,1,0;2189,1,1;2094,1,2;1999,1,3;1999,0,4;1999,0,5;2000,0,6;2001,0,7;2002,0,8;2003,0,9;2004,0,10;2005,0,11;2006,0,12;2007,0,13;2008,0,14;2009,0,15;2010,0,16;2011,0,17;2012,0,18;2013,0,19;2014,0,20;2015,0,21;2016,0,22;2017,0,23;2018,0,24;2019,0,25;2020,0,26;2021,0,27;2022,0,28;2023,0,29;2024,0,30;2025,0,31;2026,0,32;2027,0,33;2028,0,34;2029,0,35;2030,0,36;2031,0,37;2031,1,38;2031,1,39;2031,1,40;2126,1,41;2221,1,42;2126,1,43;2031,1,44;2031,0,45;2032,0,46;2033,0,47;2034,0,48;2035,0,49;2036,0,50;2037,0,51;2038,0,52;2039,0,53;2040,0,54;2036,0,55;
573,1,0;668,1,1;763,1,2;858,1,3;953,1,4;1048,1,5;1143,1,6;1238,1,7;1333,1,8;1428,1,9;1523,1,10;1618,1,11;1713,1,12;1808,1,13;1903,1,14;1998,1,15;2093,1,16;2188,1,17;2283,1,18;2378,1,19;2473,1,20;2568,1,21;2663,1,22;2663,0,23;2663,0,24;2663,0,25;2664,0,26;2665,0,27;2666,0,28;2667,0,29;2668,0,30;2669,0,31;2670,0,32;2671,0,33;2672,0,34;2673,0,35;2674,0,36;2675,0,37;2676,0,38;2677,0,39;2678,0,40;2679,0,41;2680,0,42;2681,0,43;2682,0,44;2683,0,45;2684,0,46;2685,0,47;2686,0,48;2687,0,49;2688,0,50;2689,0,51;2690,0,52;2691,0,53;2692,0,54;2688,0,55;
1524,3,0;1524,0,1;1524,0,2;1524,0,3;1525,0,4;1526,0,5;1527,0,6;1528,0,7;1528,3,8;1528,3,9;1528,3,10;1623,3,11;1718,3,12;1813,3,13;1908,3,14;2003,3,15;2098,3,16;2098,0,17;2098,0,18;2098,0,19;2099,0,20;2100,0,21;2101,0,22;2102,0,23;2103,0,24;2104,0,25;2105,0,26;2106,0,27;2107,0,28;2108,0,29;2109,0,30;2110,0,31;2111,0,32;2112,0,33;2113,0,34;2114,0,35;2115,0,36;2116,0,37;2117,0,38;2118,0,39;2119,0,40;2120,0,41;2121,0,42;2122,0,43;2123,0,44;2124,0,45;2125,0,46;2126,0,47;2127,0,48;2128,0,49;2129,0,50;2130,0,51;2131,0,52;2132,0,53;2133,0,54;2129,0,55;
3803,0,0;3804,0,1;3805,0,2;3806,0,3;3807,0,4;3808,0,5;3808,1,6;3808,1,7;3808,1,8;3713,1,9;3618,1,10;3523,1,11;3428,1,12;3333,1,13;3238,1,14;3143,1,15;3048,1,16;2953,1,17;2858,1,18;2763,1,19;2668,1,20;2573,1,21;2478,1,22;2383,1,23;2288,1,24;2193,1,25;2098,1,26;2003,1,27;1908,1,28;1813,1,29;1718,1,30;1623,1,31;1528,1,32;1433,1,33;1338,1,34;1243,1,35;1148,1,36;1148,0,37;1148,0,38;1148,0,39;1149,0,40;1150,0,41;1151,0,42;1152,0,43;1153,0,44;1154,0,45;1155,0,46;1156,0,47;1157,0,48;1158,0,49;1159,0,50;1160,0,51;1161,0,52;1162,0,53;1163,0,54;1159,0,55;
4462,0,0;4461,0,1;4460,0,2;4459,0,3;4458,0,4;4457,0,5;4456,0,6;4456,1,7;4456,1,8;4456,1,9;4361,1,10;4266,1,11;4171,1,12;4076,1,13;3981,1,14;3886,1,15;3791,1,16;3791,2,17;3791,2,18;3791,2,19;3790,2,20;3789,2,21;3788,2,22;3787,2,23;3786,2,24;3785,2,25;3785,1,26;3785,1,27;3785,1,28;3690,1,29;3785,1,30;3880,1,31;3975,1,32;3880,1,33;3785,1,34;3690,1,35;3595,1,36;3595,0,37;3595,0,38;3595,0,39;3596,0,40;3597,0,41;3598,0,42;3599,0,43;3600,0,44;3601,0,45;3601,1,46;3601,1,47;3601,1,48;3506,1,49;3411,1,50;3316,1,51;3221,1,52;3126,1,53;3031,1,54;3411,1,55;
288,1,0;288,0,1;288,0,2;288,0,3;289,0,4;290,0,5;291,0,6;292,0,7;293,0,8;294,0,9;295,0,10;296,0,11;297,0,12;298,0,13;299,0,14;300,0,15;301,0,16;302,0,17;303,0,18;304,0,19;305,0,20;306,0,21;307,0,22;308,0,23;309,0,24;310,0,25;311,0,26;312,0,27;313,0,28;314,0,29;315,0,30;316,0,31;317,0,32;318,0,33;319,0,34;320,0,35;321,0,36;322,0,37;323,0,38;324,0,39;325,0,40;326,0,41;327,0,42;328,0,43;329,0,44;330,0,45;331,0,46;332,0,47;333,0,48;334,0,49;335,0,50;336,0,51;337,0,52;338,0,53;339,0,54;335,0,55;
2373,2,0;2372,2,1;2371,2,2;2370,2,3;2369,2,4;2368,2,5;2367,2,6;2366,2,7;2366,3,8;2366,3,9;2366,3,10;2271,3,11;2176,3,12;2176,2,13;2176,2,14;2176,2,15;2175,2,16;2174,2,17;2173,2,18;2172,2,19;2171,2,20;2170,2,21;2169,2,22;2168,2,23;2167,2,24;2166,2,25;2165,2,26;2164,2,27;2163,2,28;2162,2,29;2161,2,30;2160,2,31;2159,2,32;2158,2,33;2157,2,34;2156,2,35;2156,3,36;2156,3,37;2156,3,38;2251,3,39;2346,3,40;2441,3,41;2536,3,42;2631,3,43;2726,3,44;2821,3,45;2916,3,46;3011,3,47;3106,3,48;3201,3,49;3296,3,50;3391,3,51;3486,3,52;3581,3,53;3676,3,54;3296,3,55;
1999,3,0;1904,3,1;1809,3,2;1714,3,3;1619,3,4;1524,3,5;1524,0,6;1524,0,7;1524,0,8;1525,0,9;1526,0,10;1527,0,11;1528,0,12;1528,1,13;1528,1,14;1528,1,15;1433,1,16;1338,1,17;1243,1,18;1148,1,19;1053,1,20;958,1,21;863,1,22;768,1,23;673,1,24;578,1,25;483,1,26;388,1,27;293,1,28;293,0,29;293,0,30;294,0,31;295,0,32;296,0,33;297,0,34;298,0,35;299,0,36;300,0,37;301,0,38;301,1,39;301,1,40;396,1,41;491,1,42;396,1,43;301,1,44;301,0,45;302,0,46;303,0,47;304,0,48;305,0,49;306,0,50;307,0,51;308,0,52;309,0,53;310,0,54;306,0,55;
4178,3,0;4083,3,1;3988,3,2;3893,3,3;3798,3,4;3703,3,5;3608,3,6;3608,2,7;3608,2,8;3608,2,9;3607,2,10;3606,2,11;3605,2,12;3604,2,13;3603,2,14;3602,2,15;3601,2,16;3600,2,17;3599,2,18;3598,2,19;3597,2,20;3596,2,21;3595,2,22;3594,2,23;3593,2,24;3592,2,25;3591,2,26;3590,2,27;3589,2,28;3588,2,29;3587,2,30;3586,2,31;3585,2,32;3584,2,33;3583,2,34;3582,2,35;3581,2,36;3580,2,37;3579,2,38;3578,2,39;3577,2,40;3577,3,41;3577,3,42;3577,3,43;3672,3,44;3577,3,45;3482,3,46;3387,3,47;3482,3,48;3577,3,49;3577,0,50;3578,0,51;3578,0,52;3579,0,53;3580,0,54;3577,0,55;
3133,0,0;3132,0,1;3131,0,2;3130,0,3;3129,0,4;3128,0,5;3127,0,6;3126,0,7;3126,1,8;3126,1,9;3126,1,10;3031,1,11;2936,1,12;2841,1,13;2746,1,14;2651,1,15;2556,1,16;2461,1,17;2366,1,18;2271,1,19;2176,1,20;2081,1,21;1986,1,22;1891,1,23;1796,1,24;1701,1,25;1606,1,26;1511,1,27;1416,1,28;1321,1,29;1226,1,30;1131,1,31;1036,1,32;1036,2,33;1036,2,34;1036,2,35;1035,2,36;1034,2,37;1033,2,38;1032,2,39;1031,2,40;1030,2,41;1029,2,42;1028,2,43;1027,2,44;1026,2,45;1025,2,46;1024,2,47;1023,2,48;1023,3,49;1023,3,50;928,3,51;833,3,52;928,3,53;1023,3,54;1023,3,55;
