10
2284,3,0;2379,3,1;2474,3,2;2569,3,3;2664,3,4;2759,3,5;2854,3,6;2949,3,7;3044,3,8;3139,3,9;3234,3,10;3329,3,11;3424,3,12;3519,3,13;3614,3,14;3709,3,15;3709,3,16;3614,3,17;3614,3,18;3614,3,19;3614,3,20;3519,3,21;3424,3,22;3329,3,23;3234,3,24;3139,3,25;3044,3,26;2949,3,27;2854,3,28;2759,3,29;2664,3,30;2664,0,31;2664,0,32;2664,0,33;2665,0,34;2666,0,35;2667,0,36;2668,0,37;2669,0,38;2670,0,39;2671,0,40;2672,0,41;2673,0,42;2674,0,43;2675,0,44;2676,0,45;2677,0,46;2678,0,47;2679,0,48;2680,0,49;2681,0,50;2682,0,51;2683,0,52;2684,0,53;2685,0,54;2686,0,55;
573,0,0;574,0,1;575,0,2;576,0,3;577,0,4;578,0,5;578,3,6;578,3,7;578,3,8;673,3,9;768,3,10;863,3,11;958,3,12;1053,3,13;1148,3,14;1243,3,15;1338,3,16;1433,3,17;1528,3,18;1623,3,19;1718,3,20;1813,3,21;1908,3,22;2003,3,23;2098,3,24;2193,3,25;2288,3,26;2383,3,27;2478,3,28;2573,3,29;2668,3,30;2763,3,31;2858,3,32;2953,3,33;3048,3,34;3143,3,35;3238,3,36;3333,3,37;3428,3,38;3523,3,39;3618,3,40;3713,3,41;3808,3,42;3903,3,43;3998,3,44;4093,3,45;4188,3,46;4283,3,47;4378,3,48;4378,0,49;4378,0,50;4379,0,51;4380,0,52;4381,0,53;4382,0,54;4383,0,55;
1524,1,0;1429,1,1;1334,1,2;1239,1,3;1144,1,4;1144,0,5;1145,0,6;1146,0,7;1147,0,8;1148,0,9;1149,0,10;1150,0,11;1151,0,12;1152,0,13;1153,0,14;1154,0,15;1155,0,16;1156,0,17;1157,0,18;1158,0,19;1159,0,20;1160,0,21;1161,0,22;1162,0,23;1163,0,24;1163,1,25;1258,1,26;1353,1,27;1353,1,28;1353,1,29;1353,1,30;1258,1,31;1163,1,32;1163,0,33;1163,0,34;1163,0,35;1164,0,36;1165,0,37;1166,0,38;1167,0,39;1168,0,40;1169,0,41;1170,0,42;1171,0,43;1172,0,44;1173,0,45;1174,0,46;1175,0,47;1176,0,48;1177,0,49;1178,0,50;1179,0,51;1180,0,52;1181,0,53;1182,0,54;1183,0,55;
3803,1,0;3708,1,1;3708,0,2;3708,0,3;3708,0,4;3709,0,5;3710,0,6;3711,0,7;3712,0,8;3713,0,9;3714,0,10;3715,0,11;3716,0,12;3717,0,13;3718,0,14;3719,0,15;3720,0,16;3721,0,17;3722,0,18;3723,0,19;3724,0,20;3725,0,21;3726,0,22;3727,0,23;3728,0,24;3729,0,25;3730,0,26;3731,0,27;3732,0,28;3733,0,29;3734,0,30;3735,0,31;3736,0,32;3737,0,33;3738,0,34;3739,0,35;3740,0,36;3741,0,37;3742,0,38;3743,0,39;3744,0,40;3745,0,41;3746,0,42;3747,0,43;3748,0,44;3749,0,45;3750,0,46;3751,0,47;3752,0,48;3753,0,49;3754,0,50;3755,0,51;3756,0,52;3757,0,53;3758,0,54;3759,0,55;
4462,3,0;4367,3,1;4272,3,2;4177,3,3;4082,3,4;3987,3,5;3892,3,6;3797,3,7;3702,3,8;3607,3,9;3512,3,10;3417,3,11;3322,3,12;3227,3,13;3132,3,14;3037,3,15;2942,3,16;2847,3,17;2752,3,18;2657,3,19;2562,3,20;2467,3,21;2372,3,22;2277,3,23;2182,3,24;2087,3,25;1992,3,26;1897,3,27;1802,3,28;1707,3,29;1612,3,30;1517,3,31;1422,3,32;1327,3,33;1232,3,34;1137,3,35;1137,3,36;1137,3,37;1042,3,38;947,3,39;852,3,40;757,3,41;662,3,42;567,3,43;472,3,44;377,3,45;377,2,46;377,2,47;377,2,48;376,2,49;375,2,50;374,2,51;373,2,52;372,2,53;371,2,54;370,2,55;
288,2,0;289,2,1;290,2,2;291,2,3;292,2,4;293,2,5;294,2,6;295,2,7;296,2,8;297,2,9;298,2,10;299,2,11;300,2,12;301,2,13;302,2,14;303,2,15;304,2,16;305,2,17;306,2,18;307,2,19;308,2,20;309,2,21;310,2,22;311,2,23;312,2,24;313,2,25;314,2,26;315,2,27;316,2,28;317,2,29;318,2,30;319,2,31;320,2,32;321,2,33;322,2,34;323,2,35;324,2,36;325,2,37;326,2,38;327,2,39;328,2,40;329,2,41;330,2,42;331,2,43;332,2,44;333,2,45;333,3,46;333,3,47;333,3,48;428,3,49;523,3,50;618,3,51;713,3,52;808,3,53;903,3,54;998,3,55;
2373,0,0;2372,0,1;2371,0,2;2370,0,3;2369,0,4;2368,0,5;2367,0,6;2366,0,7;2366,1,8;2366,1,9;2366,1,10;2271,1,11;2176,1,12;2081,1,13;1986,1,14;1891,1,15;1796,1,16;1701,1,17;1606,1,18;1511,1,19;1416,1,20;1321,1,21;1226,1,22;1131,1,23;1036,1,24;941,1,25;846,1,26;751,1,27;656,1,28;561,1,29;466,1,30;371,1,31;371,2,32;371,2,33;371,2,34;370,2,35;369,2,36;368,2,37;367,2,38;366,2,39;365,2,40;364,2,41;363,2,42;362,2,43;361,2,44;360,2,45;359,2,46;358,2,47;357,2,48;356,2,49;355,2,50;354,2,51;353,2,52;352,2,53;351,2,54;350,2,55;
1999,1,0;2094,1,1;2189,1,2;2284,1,3;2379,1,4;2474,1,5;2569,1,6;2664,1,7;2759,1,8;2854,1,9;2949,1,10;3044,1,11;3139,1,12;3234,1,13;3329,1,14;3424,1,15;3519,1,16;3519,0,17;3519,0,18;3519,0,19;3520,0,20;3521,0,21;3522,0,22;3523,0,23;3524,0,24;3525,0,25;3526,0,26;3527,0,27;3528,0,28;3529,0,29;3530,0,30;3531,0,31;3532,0,32;3533,0,33;3534,0,34;3535,0,35;3536,0,36;3537,0,37;3538,0,38;3539,0,39;3540,0,40;3541,0,41;3542,0,42;3543,0,43;3544,0,44;3545,0,45;3546,0,46;3547,0,47;3548,0,48;3549,0,49;3550,0,50;3551,0,51;3552,0,52;3553,0,53;3554,0,54;3555,0,55;
4178,3,0;4083,3,1;3988,3,2;3893,3,3;3798,3,4;3703,3,5;3608,3,6;3513,3,7;3418,3,8;3323,3,9;3228,3,10;3133,3,11;3038,3,12;2943,3,13;2848,3,14;2753,3,15;2658,3,16;2563,3,17;2468,3,18;2373,3,19;2278,3,20;2183,3,21;2088,3,22;1993,3,23;1898,3,24;1803,3,25;1708,3,26;1613,3,27;1518,3,28;1423,3,29;1328,3,30;1233,3,31;1138,3,32;1043,3,33;1043,2,34;1043,2,35;1042,2,36;1041,2,37;1040,2,38;1039,2,39;1038,2,40;1037,2,41;1036,2,42;1035,2,43;1034,2,44;1033,2,45;1032,2,46;1031,2,47;1030,2,48;1029,2,49;1028,2,50;1027,2,51;1026,2,52;1025,2,53;1024,2,54;1023,2,55;
3133,3,0;3038,3,1;2943,3,2;2848,3,3;2753,3,4;2658,3,5;2563,3,6;2468,3,7;2373,3,8;2278,3,9;2183,3,10;2088,3,11;1993,3,12;1898,3,13;1803,3,14;1708,3,15;1613,3,16;1518,3,17;1423,3,18;1328,3,19;1233,3,20;1138,3,21;1043,3,22;1043,2,23;1043,2,24;1043,2,25;1042,2,26;1041,2,27;1040,2,28;1039,2,29;1038,2,30;1037,2,31;1036,2,32;1035,2,33;1034,2,34;1033,2,35;1032,2,36;1031,2,37;1030,2,38;1029,2,39;1028,2,40;1027,2,41;1026,2,42;1025,2,43;1024,2,44;1023,2,45;1022,2,46;1021,2,47;1020,2,48;1019,2,49;1018,2,50;1017,2,51;1016,2,52;1015,2,53;1014,2,54;1013,2,55;
